case,scenario,algorithm,label,n_rep,best,mean,std,median,feasibility_rate,best_feasible_volume_m3,mean_max_violation,auc_mean,auc_std,conv_eval_mean,conv_eval_std,wall_time_mean_s,wall_time_std_s
caso2_dois,S1_orcamento_igual,ego,EGO + GPR,30,5.290449242620605,5.908996886421042,0.3028691446780621,6.003911581078564,0.8333333333333334,5.290449242620605,0.0029138503666557,9.446808167514614,1.02021894320245,150.0,0.0,57.074848400001066,1.1004137012653443
caso2_dois,S1_orcamento_igual,ga,GA puro,30,5.681410303147324,7.864744942191951,1.108199255521393,7.578233216277193,0.5333333333333333,6.2718681694605385,0.0253564230228284,10.627225769343038,1.5505998656474842,150.0,0.0,0.0215934208361431,0.0001532346543704
caso2_dois,S1_orcamento_igual,pso,PSO puro,30,5.7559198455471225,6.803538426536552,0.961242533371802,6.517473006770766,0.6,5.952445027636904,0.0393656606735407,10.28886115538262,1.5355389774625223,150.0,0.0,0.0200956112006679,0.000149795116219
caso2_dois,S1_orcamento_igual,gwo,GWO puro,30,5.00860032568063,5.478008176366285,0.2462091816267007,5.4819629002619195,0.5,5.089837112147973,0.0142338539467931,9.0405013204104,1.1908122541586332,149.06666666666666,5.112077203381549,0.0202094388039161,0.0001725051545431
caso2_dois,S1_orcamento_igual,random,Busca aleatória,30,6.5369499291563535,9.905687683952335,1.8814101545117907,9.80924107000668,0.3,6.5369499291563535,0.1496637524333059,11.86708373518774,1.8209519491071915,150.0,0.0,0.0174955916348456,0.0002109027545305
caso2_dois,S1_orcamento_igual,cbo,CBO (ECI),30,4.959238629231921,5.35669694596219,0.1760363740844757,5.324210542162709,0.3666666666666666,5.1065453242996135,0.0150334103885355,9.193483307881484,0.9828575138216076,149.73333333333332,1.4605934866804426,89.40018535956624,2.7229158609630373
caso2_dois,S2_orcamento_estendido,ga,GA puro,30,4.906336336505747,5.271408019084077,0.2296894425042245,5.191069286192105,0.5333333333333333,5.029358998017489,0.0016821677895429,5.929691762765622,0.3905345821325407,3000.0,0.0,0.433998313966246,0.0029804368569503
caso2_dois,S2_orcamento_estendido,pso,PSO puro,30,4.769353009184545,4.944504186973921,0.1050654689681401,4.9268359615029915,0.4666666666666667,4.833683616264453,0.0004899976739961,5.391229618023396,0.1501578697951599,2970.766666666667,160.1175609773436,0.3871669959655264,0.0021846680141416
caso2_dois,S2_orcamento_estendido,gwo,GWO puro,30,4.775835120004778,4.866979127274629,0.0544289301297838,4.8553614237091285,0.5333333333333333,4.787485785761141,0.0010888551059275,5.299813009121971,0.1029388506621451,3000.0,0.0,0.4018650361026327,0.0024735425361989
caso2_dois,S2_orcamento_estendido,random,Busca aleatória,30,5.64159148968355,6.840625423323851,0.6804947921154344,6.828147027681052,0.4666666666666667,5.7735417107963745,0.0280526808550312,7.688410359998709,0.5778486892244409,3000.0,0.0,0.342489393101035,0.00316042613537
caso3_tres,S1_orcamento_igual,ego,EGO + GPR,30,2.940576729354804,3.3351009899400363,0.1945369636514439,3.2892257203723845,0.8333333333333334,2.940576729354804,0.0031608392854413,8.121461761252297,0.8862110166203855,148.9,6.024948132556828,39.514960113897295,1.626781318056249
caso3_tres,S1_orcamento_igual,ga,GA puro,30,3.8743912519657906,5.327463652083429,0.759393680883519,5.285543209180803,0.5333333333333333,3.8743912519657906,0.0312248781078475,8.660574025302015,1.191375398879883,150.0,0.0,0.0218628499327072,0.0002266748458928
caso3_tres,S1_orcamento_igual,pso,PSO puro,30,4.180568934170408,6.200306987226881,1.420489304041871,6.1574758253976665,0.4333333333333333,4.180568934170408,0.0675866545412169,8.831847818620433,1.2717174946411811,150.0,0.0,0.0201446249673608,0.000192768291376
caso3_tres,S1_orcamento_igual,gwo,GWO puro,30,3.062505502803438,3.861712302472023,0.509444314398808,3.837180828290697,0.6,3.062505502803438,0.0114903923263636,7.594070873146615,0.964479137612678,150.0,0.0,0.0202900402015075,0.0002709368479524
caso3_tres,S1_orcamento_igual,random,Busca aleatória,30,6.211424006627158,8.852618824886546,1.25382684423586,9.108422476429473,0.3666666666666666,6.211424006627158,0.0683431859534243,10.25680532589834,1.1167429015136563,150.0,0.0,0.0176812652314159,0.0002211089129115
caso3_tres,S1_orcamento_igual,cbo,CBO (ECI),30,2.490355552708769,2.6121694193511273,0.0805006341462613,2.6069089319378773,0.8333333333333334,2.490355552708769,0.0003832216503879,7.790781034471044,0.8808224016844074,148.83333333333334,6.390096504226937,61.3009569416686,2.1782756839681197
caso3_tres,S2_orcamento_estendido,ga,GA puro,30,2.288255235127021,2.4293201624178153,0.0946828238746854,2.421234612816323,0.6333333333333333,2.3312441363759726,0.0007255273554121,3.1634611939314436,0.2081121361632904,3000.0,0.0,0.4388982013673133,0.002691554517451
caso3_tres,S2_orcamento_estendido,pso,PSO puro,30,2.166461515054725,2.409029218625729,0.2421847046565463,2.3364197105365454,0.6,2.2029514504651484,0.0008437454034178,3.268527447406312,0.2803686879877295,2987.766666666667,67.00472620146533,0.3924131431354908,0.0020560166741297
caso3_tres,S2_orcamento_estendido,gwo,GWO puro,30,2.1672590600984916,2.1996348928120844,0.0216757521208819,2.1953392788088744,0.7,2.1672590600984916,0.0004756828147977,2.793980790437259,0.0640802901153763,2996.0,21.908902300206645,0.4079874096991261,0.0061904777512271
caso3_tres,S2_orcamento_estendido,random,Busca aleatória,30,4.651224665898285,5.991376128136424,0.6672112971800402,6.039467622878201,0.6333333333333333,4.651224665898285,0.0250309815779124,6.8871284254671545,0.5349508862324656,3000.0,0.0,0.3480803626036504,0.003466357299277
