kernel_id,kernel_repr,penalty,seed,n_train,n_test,r2,mae,rmse,fit_time_s
k17,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-12),10.0,102,630,270,0.9173549629223132,1.5447597043355712,2.065640037020355,0.9913317919999827
k18,"1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1e-12)",10.0,102,630,270,0.9217631338118694,1.52254454869685,2.0097959946488704,1.1984522079874296
k19,"1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-12)",10.0,102,630,270,0.9239358457232549,1.4981573113359248,1.98169253632942,2.186756624985719
k20,"1**2 * Matern(length_scale=1, nu=2.5)",10.0,102,630,270,0.9217630425564932,1.5225461053748728,2.0097971667602104,0.7941025830223225
k00,1**2 * RBF(length_scale=1),1000000.0,102,630,270,0.9190800015780533,151581.22455370714,202500.14130694442,0.7897432080062572
k01,1**2 * RBF(length_scale=1) + RBF(length_scale=0.3),1000000.0,102,630,270,0.9236139518516109,148046.86806308475,196745.32379611538,1.991361333988607
k02,1**2 * RBF(length_scale=1) * RBF(length_scale=0.5),1000000.0,102,630,270,0.9190800071252605,151581.21863628394,202500.13436607516,1.3554032500251196
k03,"1**2 * Matern(length_scale=1, nu=0.5)",1000000.0,102,630,270,0.8640107679460259,175974.67260043955,262512.30082598067,0.8995630830177106
k04,"1**2 * Matern(length_scale=1, nu=1.5)",1000000.0,102,630,270,0.9169338633263664,151265.6678875263,205167.89560814243,1.0422521250147838
k05,"1**2 * Matern(length_scale=1, nu=2.5)",1000000.0,102,630,270,0.9240634780081136,147882.54766492778,196165.5538346641,0.9490029159933329
k06,"1**2 * Matern(length_scale=1, nu=1.5) + Matern(length_scale=0.3, nu=2.5)",1000000.0,102,630,270,0.9238068969274246,147902.2044097485,196496.6851749159,2.3283797500189394
k07,"1**2 * RationalQuadratic(alpha=1, length_scale=1)",1000000.0,102,630,270,0.9269491195724285,145042.70358567458,192402.2405087522,2.1153788329975214
k08,"1**2 * RationalQuadratic(alpha=0.1, length_scale=1)",1000000.0,102,630,270,0.9269491195724285,145042.70358567458,192402.2405087522,1.8095395830168854
k09,"1**2 * RationalQuadratic(alpha=10, length_scale=1)",1000000.0,102,630,270,0.9269491195724285,145042.70358567458,192402.2405087522,2.1429183750005905
k10,1**2 * DotProduct(sigma_0=1) + RBF(length_scale=1),1000000.0,102,630,270,0.928455869577046,144017.42402301365,190407.6541597629,1.852934708003886
k11,"1**2 * DotProduct(sigma_0=1) + Matern(length_scale=1, nu=1.5)",1000000.0,102,630,270,0.9161446011434122,150568.280672211,206140.30405435633,3.7890370409877505
k12,1**2 * DotProduct(sigma_0=0.1) + RBF(length_scale=1),1000000.0,102,630,270,0.9284558573545074,144017.43404006094,190407.67042430324,2.0535412080062088
k13,1**2 * DotProduct(sigma_0=1),1000000.0,102,630,270,0.5823058739042284,327634.2760996661,460072.82511220925,1.4244672920031007
k14,"1**2 * ExpSineSquared(length_scale=1, periodicity=1)",1000000.0,102,630,270,-0.018719997901200047,481805.4535614059,718496.7592450397,0.5622246249986347
k15,"1**2 * RBF(length_scale=1) * ExpSineSquared(length_scale=1, periodicity=1)",1000000.0,102,630,270,0.9199188369171272,150695.13289083153,201447.82551585278,1.6599500839947723
k16,"1**2 * Matern(length_scale=1, nu=1.5) * ExpSineSquared(length_scale=1, periodicity=1)",1000000.0,102,630,270,0.9170201550905008,151222.83772856396,205061.300425658,1.410571708023781
k17,1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1e-12),1000000.0,102,630,270,0.9190799837242355,151581.24164316792,202500.16364629488,1.0544017080101185
k18,"1**2 * Matern(length_scale=1, nu=2.5) + WhiteKernel(noise_level=1e-12)",1000000.0,102,630,270,0.9240636036490675,147882.42308920703,196165.39155150423,1.319518624979537
k19,"1**2 * RationalQuadratic(alpha=1, length_scale=1) + WhiteKernel(noise_level=1e-12)",1000000.0,102,630,270,0.9269491216344035,145042.70158054057,192402.23779332568,1.6819322079827543
k20,"1**2 * Matern(length_scale=1, nu=2.5)",1000000.0,102,630,270,0.9240634674007887,147882.5649339306,196165.56753552667,0.8985202919866424
